prediction,AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
AMPA,4.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK,8.0,18.0,1.0,0.0,2.0,9.0,11.0,12.0,6.0,1.0,2.0,7.0,1.0,5.0,16.0,0.0,0.0
Ca2,10.0,7.0,126.0,14.0,7.0,7.0,10.0,12.0,4.0,24.0,26.0,4.0,2.0,3.0,9.0,14.0,1.0
Cdc25,0.0,0.0,2.0,38.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
DNAMetabolism,0.0,0.0,3.0,0.0,110.0,1.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
DNA_intercalation,21.0,14.0,0.0,0.0,5.0,24.0,14.0,2.0,9.0,9.0,3.0,15.0,3.0,14.0,21.0,0.0,0.0
EGFR,110.0,62.0,1.0,3.0,33.0,97.0,144.0,38.0,115.0,36.0,32.0,92.0,35.0,77.0,114.0,0.0,0.0
MEK,16.0,38.0,8.0,0.0,7.0,21.0,17.0,112.0,20.0,8.0,6.0,22.0,7.0,12.0,23.0,0.0,0.0
ROCK,90.0,79.0,2.0,1.0,37.0,81.0,137.0,17.0,190.0,17.0,35.0,100.0,33.0,54.0,109.0,0.0,0.0
TopoII,6.0,3.0,21.0,2.0,38.0,8.0,6.0,4.0,3.0,179.0,21.0,4.0,1.0,5.0,8.0,10.0,0.0
Tubulin,0.0,4.0,38.0,9.0,1.0,2.0,2.0,6.0,1.0,13.0,139.0,5.0,3.0,2.0,3.0,8.0,2.0
adrenoceptor,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0
dopaminereceptor,111.0,132.0,8.0,0.0,46.0,126.0,160.0,46.0,140.0,38.0,49.0,134.0,41.0,68.0,199.0,0.0,0.0
eNOS,3.0,2.0,7.0,2.0,5.0,1.0,3.0,1.0,1.0,13.0,7.0,0.0,2.0,2.0,4.0,89.0,1.0
rac1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0
