AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
54.0,39.0,2.0,1.0,16.0,40.0,54.0,27.0,63.0,10.0,19.0,49.0,16.0,39.0,58.0,0.0,0.0
35.0,43.0,6.0,0.0,10.0,34.0,35.0,14.0,41.0,13.0,8.0,20.0,7.0,19.0,54.0,1.0,0.0
4.0,1.0,117.0,14.0,12.0,3.0,5.0,7.0,4.0,34.0,36.0,4.0,3.0,4.0,1.0,13.0,0.0
1.0,0.0,2.0,36.0,1.0,2.0,2.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,5.0,4.0,1.0,95.0,1.0,1.0,1.0,1.0,25.0,5.0,4.0,0.0,2.0,4.0,15.0,1.0
37.0,28.0,1.0,0.0,18.0,51.0,56.0,21.0,32.0,17.0,11.0,50.0,14.0,31.0,47.0,1.0,0.0
65.0,64.0,6.0,0.0,34.0,79.0,131.0,30.0,94.0,28.0,26.0,81.0,25.0,51.0,94.0,1.0,0.0
7.0,21.0,9.0,0.0,6.0,9.0,19.0,76.0,12.0,5.0,5.0,16.0,4.0,6.0,15.0,0.0,1.0
73.0,57.0,4.0,1.0,23.0,68.0,81.0,22.0,127.0,19.0,20.0,59.0,26.0,36.0,87.0,1.0,0.0
5.0,5.0,17.0,1.0,29.0,9.0,5.0,2.0,5.0,145.0,12.0,4.0,1.0,3.0,5.0,4.0,0.0
3.0,4.0,32.0,6.0,3.0,0.0,1.0,4.0,2.0,13.0,110.0,0.0,1.0,2.0,2.0,8.0,4.0
24.0,18.0,2.0,2.0,7.0,30.0,39.0,22.0,35.0,6.0,10.0,33.0,10.0,14.0,32.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
12.0,12.0,0.0,0.0,1.0,8.0,9.0,3.0,10.0,2.0,2.0,11.0,2.0,8.0,10.0,0.0,0.0
55.0,65.0,2.0,0.0,19.0,47.0,66.0,19.0,66.0,17.0,34.0,53.0,17.0,23.0,97.0,0.0,0.0
4.0,1.0,8.0,1.0,15.0,0.0,3.0,1.0,1.0,17.0,9.0,1.0,1.0,4.0,5.0,78.0,1.0
0.0,1.0,5.0,6.0,3.0,1.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,1.0,1.0,3.0,82.0
