AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
20.0,21.0,1.0,0.0,4.0,19.0,39.0,10.0,26.0,11.0,6.0,24.0,10.0,26.0,31.0,0.0,0.0
27.0,34.0,1.0,0.0,8.0,23.0,32.0,15.0,30.0,4.0,7.0,19.0,7.0,9.0,37.0,0.0,0.0
7.0,4.0,126.0,9.0,10.0,5.0,10.0,13.0,3.0,19.0,26.0,5.0,3.0,3.0,5.0,13.0,0.0
0.0,0.0,3.0,39.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,108.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
33.0,26.0,0.0,1.0,9.0,26.0,44.0,5.0,32.0,12.0,4.0,26.0,10.0,20.0,35.0,0.0,0.0
96.0,58.0,4.0,1.0,34.0,109.0,120.0,40.0,114.0,27.0,26.0,81.0,25.0,49.0,102.0,0.0,0.0
22.0,36.0,6.0,1.0,6.0,18.0,16.0,89.0,16.0,6.0,7.0,21.0,5.0,9.0,30.0,0.0,0.0
71.0,72.0,3.0,0.0,30.0,62.0,134.0,22.0,163.0,20.0,44.0,86.0,29.0,48.0,105.0,1.0,0.0
7.0,6.0,21.0,2.0,36.0,7.0,6.0,6.0,7.0,179.0,21.0,5.0,1.0,4.0,8.0,13.0,1.0
0.0,3.0,42.0,12.0,1.0,1.0,0.0,7.0,1.0,20.0,140.0,4.0,3.0,4.0,2.0,8.0,0.0
20.0,14.0,0.0,0.0,8.0,18.0,12.0,6.0,15.0,7.0,9.0,22.0,8.0,12.0,25.0,0.0,0.0
2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
74.0,87.0,3.0,1.0,34.0,89.0,90.0,38.0,81.0,23.0,27.0,92.0,26.0,53.0,130.0,0.0,0.0
2.0,1.0,6.0,1.0,4.0,1.0,2.0,1.0,1.0,10.0,3.0,0.0,1.0,3.0,2.0,82.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0
