AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
52.0,29.0,2.0,0.0,11.0,43.0,46.0,24.0,50.0,11.0,12.0,45.0,16.0,33.0,56.0,0.0,0.0
35.0,42.0,6.0,0.0,7.0,37.0,28.0,20.0,38.0,12.0,14.0,18.0,3.0,19.0,41.0,1.0,0.0
3.0,2.0,119.0,12.0,16.0,5.0,4.0,8.0,3.0,33.0,34.0,3.0,3.0,5.0,1.0,12.0,0.0
0.0,0.0,3.0,32.0,1.0,1.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,4.0,3.0,87.0,1.0,2.0,0.0,0.0,19.0,6.0,3.0,0.0,0.0,1.0,14.0,0.0
35.0,19.0,0.0,0.0,15.0,42.0,40.0,18.0,40.0,17.0,11.0,42.0,14.0,21.0,40.0,0.0,0.0
67.0,62.0,5.0,2.0,37.0,83.0,144.0,35.0,106.0,29.0,26.0,91.0,27.0,53.0,118.0,1.0,0.0
12.0,25.0,9.0,0.0,8.0,9.0,20.0,74.0,8.0,2.0,6.0,15.0,4.0,7.0,16.0,0.0,1.0
76.0,62.0,4.0,1.0,23.0,67.0,88.0,20.0,127.0,26.0,22.0,69.0,27.0,39.0,80.0,2.0,0.0
7.0,5.0,17.0,1.0,32.0,8.0,7.0,1.0,4.0,152.0,12.0,4.0,0.0,2.0,5.0,4.0,0.0
3.0,4.0,26.0,9.0,2.0,2.0,1.0,4.0,1.0,10.0,112.0,0.0,2.0,2.0,0.0,8.0,4.0
26.0,24.0,2.0,1.0,9.0,25.0,34.0,18.0,28.0,8.0,10.0,31.0,9.0,14.0,32.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,9.0,1.0,0.0,1.0,6.0,12.0,2.0,8.0,1.0,3.0,7.0,3.0,9.0,7.0,0.0,0.0
57.0,77.0,2.0,0.0,24.0,53.0,76.0,26.0,79.0,13.0,30.0,56.0,17.0,34.0,111.0,0.0,0.0
4.0,1.0,12.0,1.0,16.0,0.0,4.0,0.0,1.0,18.0,7.0,1.0,2.0,4.0,4.0,80.0,1.0
0.0,1.0,5.0,7.0,3.0,1.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,3.0,83.0
