AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
33.0,20.0,1.0,0.0,9.0,28.0,34.0,11.0,36.0,8.0,9.0,21.0,12.0,17.0,28.0,0.0,0.0
26.0,31.0,3.0,1.0,6.0,34.0,39.0,18.0,27.0,8.0,10.0,27.0,4.0,16.0,38.0,0.0,0.0
9.0,3.0,126.0,10.0,5.0,6.0,8.0,13.0,5.0,16.0,24.0,6.0,2.0,3.0,8.0,12.0,2.0
0.0,1.0,1.0,38.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,4.0,0.0,117.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
33.0,24.0,0.0,2.0,8.0,51.0,31.0,9.0,29.0,16.0,7.0,28.0,7.0,29.0,40.0,0.0,0.0
93.0,61.0,3.0,0.0,33.0,77.0,139.0,26.0,108.0,24.0,28.0,72.0,27.0,49.0,98.0,0.0,0.0
20.0,39.0,5.0,1.0,6.0,22.0,15.0,114.0,13.0,8.0,8.0,20.0,10.0,15.0,30.0,1.0,0.0
83.0,84.0,4.0,1.0,31.0,58.0,110.0,21.0,150.0,14.0,36.0,85.0,29.0,49.0,82.0,0.0,0.0
7.0,4.0,19.0,2.0,32.0,7.0,6.0,5.0,3.0,181.0,22.0,4.0,2.0,5.0,8.0,11.0,0.0
0.0,3.0,39.0,11.0,2.0,2.0,2.0,6.0,1.0,16.0,135.0,5.0,2.0,3.0,2.0,9.0,1.0
16.0,21.0,0.0,0.0,8.0,23.0,26.0,5.0,18.0,7.0,4.0,34.0,3.0,11.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0
56.0,70.0,4.0,0.0,30.0,68.0,90.0,21.0,97.0,30.0,27.0,80.0,28.0,41.0,142.0,0.0,0.0
2.0,1.0,8.0,3.0,4.0,3.0,4.0,1.0,3.0,13.0,6.0,0.0,1.0,2.0,4.0,90.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0
