AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
24.0,30.0,6.0,1.0,16.0,33.0,44.0,17.0,29.0,14.0,18.0,20.0,9.0,20.0,29.0,4.0,4.0
16.0,21.0,9.0,3.0,12.0,21.0,26.0,9.0,33.0,13.0,15.0,19.0,4.0,7.0,31.0,7.0,1.0
4.0,6.0,7.0,6.0,9.0,5.0,6.0,1.0,3.0,5.0,10.0,6.0,1.0,2.0,3.0,2.0,2.0
0.0,0.0,2.0,19.0,1.0,2.0,1.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0
10.0,9.0,9.0,1.0,6.0,5.0,2.0,9.0,6.0,20.0,11.0,9.0,3.0,1.0,12.0,9.0,4.0
28.0,15.0,6.0,1.0,11.0,35.0,34.0,15.0,28.0,21.0,8.0,22.0,8.0,14.0,27.0,4.0,3.0
105.0,73.0,44.0,8.0,53.0,98.0,141.0,66.0,131.0,57.0,58.0,100.0,42.0,64.0,113.0,24.0,12.0
2.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,7.0,1.0,0.0
71.0,70.0,30.0,1.0,47.0,62.0,93.0,43.0,99.0,45.0,61.0,80.0,19.0,55.0,102.0,19.0,6.0
27.0,33.0,25.0,4.0,52.0,26.0,20.0,15.0,20.0,94.0,22.0,28.0,5.0,11.0,35.0,18.0,3.0
10.0,7.0,31.0,11.0,17.0,8.0,12.0,5.0,9.0,18.0,58.0,8.0,7.0,7.0,13.0,10.0,9.0
18.0,16.0,9.0,0.0,11.0,16.0,23.0,20.0,23.0,8.0,11.0,21.0,6.0,8.0,21.0,4.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
64.0,83.0,29.0,4.0,50.0,69.0,101.0,46.0,104.0,50.0,40.0,67.0,24.0,49.0,116.0,18.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,10.0,10.0,4.0,2.0,1.0,1.0,2.0,4.0,7.0,2.0,0.0,4.0,3.0,3.0,32.0
