AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
34.0,37.0,2.0,0.0,10.0,23.0,47.0,12.0,29.0,1.0,8.0,31.0,7.0,18.0,34.0,0.0,0.0
22.0,38.0,3.0,0.0,8.0,32.0,24.0,15.0,17.0,5.0,8.0,22.0,2.0,14.0,39.0,0.0,0.0
4.0,6.0,126.0,10.0,5.0,7.0,8.0,11.0,3.0,18.0,23.0,4.0,1.0,3.0,4.0,13.0,0.0
0.0,0.0,3.0,40.0,0.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,110.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
24.0,21.0,0.0,0.0,10.0,45.0,41.0,16.0,23.0,15.0,8.0,27.0,9.0,21.0,44.0,0.0,0.0
85.0,68.0,1.0,2.0,24.0,80.0,109.0,33.0,116.0,32.0,17.0,77.0,31.0,55.0,112.0,0.0,0.0
15.0,28.0,9.0,1.0,8.0,18.0,17.0,90.0,16.0,5.0,6.0,17.0,5.0,12.0,17.0,0.0,0.0
70.0,72.0,2.0,1.0,36.0,71.0,134.0,20.0,154.0,16.0,40.0,89.0,34.0,50.0,97.0,0.0,0.0
6.0,5.0,19.0,2.0,37.0,7.0,6.0,8.0,5.0,185.0,15.0,8.0,1.0,3.0,12.0,17.0,1.0
1.0,2.0,43.0,11.0,2.0,1.0,1.0,5.0,3.0,15.0,144.0,3.0,4.0,5.0,4.0,5.0,1.0
38.0,16.0,1.0,1.0,5.0,18.0,21.0,7.0,28.0,5.0,7.0,20.0,6.0,6.0,23.0,0.0,0.0
2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
78.0,70.0,4.0,0.0,32.0,77.0,94.0,31.0,97.0,30.0,36.0,87.0,26.0,52.0,124.0,0.0,0.0
3.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,10.0,5.0,0.0,1.0,2.0,2.0,84.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0
