AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
62.0,58.0,6.0,1.0,18.0,66.0,81.0,35.0,72.0,16.0,23.0,63.0,22.0,36.0,85.0,0.0,0.0
45.0,53.0,9.0,2.0,14.0,43.0,45.0,29.0,53.0,18.0,16.0,39.0,13.0,26.0,56.0,2.0,0.0
5.0,3.0,113.0,11.0,9.0,3.0,4.0,7.0,7.0,27.0,35.0,6.0,2.0,4.0,3.0,13.0,0.0
0.0,0.0,6.0,37.0,1.0,2.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0
8.0,3.0,5.0,3.0,106.0,7.0,7.0,7.0,9.0,43.0,7.0,10.0,1.0,6.0,5.0,15.0,1.0
51.0,37.0,1.0,1.0,16.0,60.0,65.0,21.0,46.0,15.0,16.0,41.0,12.0,39.0,62.0,1.0,0.0
64.0,46.0,5.0,0.0,35.0,68.0,115.0,34.0,89.0,28.0,20.0,70.0,23.0,46.0,81.0,0.0,0.0
14.0,24.0,7.0,0.0,2.0,7.0,17.0,58.0,19.0,5.0,6.0,13.0,8.0,9.0,17.0,0.0,1.0
49.0,50.0,3.0,0.0,19.0,36.0,72.0,18.0,102.0,18.0,19.0,52.0,21.0,30.0,62.0,1.0,0.0
7.0,6.0,18.0,1.0,25.0,10.0,6.0,1.0,4.0,130.0,12.0,4.0,2.0,2.0,6.0,5.0,0.0
4.0,7.0,25.0,8.0,7.0,5.0,7.0,3.0,1.0,14.0,116.0,2.0,1.0,2.0,3.0,6.0,5.0
20.0,23.0,3.0,0.0,11.0,28.0,29.0,15.0,29.0,8.0,9.0,30.0,6.0,13.0,42.0,0.0,0.0
2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0
14.0,13.0,1.0,0.0,6.0,12.0,7.0,5.0,8.0,2.0,2.0,13.0,2.0,8.0,11.0,0.0,0.0
34.0,39.0,2.0,0.0,8.0,34.0,48.0,14.0,50.0,12.0,22.0,38.0,13.0,17.0,73.0,0.0,0.0
3.0,1.0,9.0,1.0,12.0,0.0,2.0,1.0,0.0,14.0,6.0,1.0,1.0,2.0,4.0,80.0,0.0
0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,82.0
