AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
30.0,21.0,2.0,0.0,9.0,16.0,32.0,15.0,26.0,10.0,12.0,21.0,7.0,11.0,41.0,0.0,0.0
23.0,34.0,2.0,2.0,10.0,18.0,34.0,10.0,29.0,5.0,3.0,15.0,4.0,14.0,29.0,0.0,0.0
7.0,3.0,124.0,10.0,11.0,8.0,8.0,12.0,3.0,16.0,30.0,3.0,1.0,4.0,5.0,14.0,0.0
0.0,0.0,1.0,39.0,0.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,3.0,0.0,103.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
23.0,22.0,1.0,0.0,5.0,46.0,38.0,13.0,30.0,10.0,10.0,46.0,3.0,29.0,42.0,1.0,0.0
102.0,75.0,2.0,1.0,30.0,92.0,128.0,35.0,106.0,27.0,30.0,90.0,27.0,60.0,110.0,0.0,0.0
13.0,30.0,8.0,0.0,7.0,16.0,16.0,91.0,13.0,4.0,5.0,17.0,8.0,5.0,23.0,0.0,0.0
68.0,69.0,0.0,2.0,32.0,71.0,119.0,17.0,167.0,17.0,39.0,60.0,44.0,47.0,90.0,0.0,0.0
8.0,7.0,23.0,1.0,37.0,6.0,5.0,6.0,4.0,187.0,17.0,7.0,2.0,6.0,8.0,15.0,0.0
1.0,4.0,41.0,12.0,2.0,2.0,2.0,8.0,2.0,16.0,139.0,3.0,2.0,5.0,2.0,7.0,0.0
21.0,18.0,0.0,0.0,5.0,24.0,12.0,6.0,18.0,7.0,12.0,29.0,4.0,15.0,29.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
82.0,80.0,5.0,2.0,35.0,78.0,108.0,37.0,93.0,29.0,18.0,93.0,25.0,45.0,127.0,0.0,0.0
2.0,2.0,5.0,0.0,5.0,1.0,2.0,1.0,1.0,11.0,4.0,0.0,1.0,2.0,4.0,80.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,88.0
