AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
30.0,21.0,0.0,1.0,10.0,30.0,43.0,15.0,28.0,9.0,9.0,34.0,11.0,20.0,33.0,0.0,0.0
20.0,38.0,3.0,0.0,9.0,20.0,35.0,14.0,26.0,11.0,8.0,18.0,3.0,12.0,25.0,0.0,0.0
15.0,5.0,130.0,12.0,6.0,10.0,8.0,8.0,5.0,18.0,29.0,3.0,1.0,3.0,5.0,14.0,1.0
0.0,0.0,2.0,40.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,5.0,0.0,112.0,1.0,1.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0
34.0,34.0,1.0,1.0,8.0,54.0,37.0,11.0,20.0,13.0,11.0,36.0,6.0,25.0,43.0,0.0,0.0
81.0,65.0,1.0,0.0,37.0,68.0,134.0,28.0,116.0,27.0,28.0,78.0,30.0,48.0,100.0,0.0,0.0
16.0,35.0,6.0,0.0,9.0,14.0,18.0,116.0,15.0,7.0,4.0,17.0,8.0,14.0,25.0,1.0,0.0
80.0,75.0,2.0,0.0,30.0,59.0,119.0,18.0,168.0,16.0,34.0,84.0,26.0,45.0,92.0,0.0,0.0
4.0,5.0,21.0,2.0,33.0,10.0,6.0,4.0,2.0,182.0,21.0,5.0,2.0,4.0,11.0,11.0,0.0
0.0,3.0,35.0,10.0,3.0,2.0,1.0,5.0,0.0,13.0,136.0,3.0,3.0,3.0,5.0,5.0,2.0
27.0,17.0,2.0,1.0,5.0,25.0,23.0,4.0,15.0,10.0,5.0,26.0,10.0,21.0,31.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0
69.0,64.0,3.0,0.0,24.0,88.0,77.0,26.0,92.0,21.0,27.0,79.0,27.0,42.0,133.0,0.0,0.0
2.0,2.0,6.0,2.0,5.0,0.0,4.0,0.0,2.0,13.0,6.0,0.0,1.0,2.0,3.0,87.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0
