AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
37.0,21.0,2.0,1.0,12.0,29.0,31.0,3.0,27.0,10.0,11.0,32.0,12.0,20.0,29.0,0.0,0.0
27.0,46.0,3.0,0.0,12.0,26.0,39.0,15.0,32.0,5.0,8.0,24.0,4.0,17.0,34.0,0.0,0.0
8.0,4.0,117.0,8.0,7.0,7.0,8.0,11.0,4.0,18.0,25.0,5.0,1.0,2.0,11.0,13.0,0.0
0.0,0.0,3.0,39.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0,109.0,1.0,0.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
26.0,31.0,2.0,0.0,12.0,51.0,49.0,13.0,28.0,15.0,10.0,26.0,7.0,19.0,40.0,0.0,0.0
86.0,55.0,1.0,1.0,24.0,79.0,133.0,26.0,100.0,24.0,19.0,85.0,33.0,52.0,101.0,0.0,0.0
25.0,39.0,7.0,0.0,5.0,21.0,18.0,114.0,17.0,8.0,7.0,21.0,5.0,10.0,27.0,0.0,0.0
87.0,72.0,1.0,0.0,30.0,62.0,107.0,18.0,168.0,15.0,35.0,87.0,25.0,49.0,98.0,0.0,0.0
6.0,3.0,23.0,2.0,37.0,8.0,7.0,5.0,4.0,181.0,18.0,3.0,2.0,5.0,8.0,10.0,0.0
1.0,3.0,44.0,13.0,1.0,2.0,3.0,7.0,1.0,18.0,141.0,4.0,4.0,3.0,1.0,8.0,3.0
17.0,24.0,1.0,1.0,8.0,21.0,25.0,8.0,31.0,7.0,3.0,25.0,7.0,19.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0
59.0,63.0,4.0,2.0,27.0,72.0,82.0,28.0,75.0,28.0,33.0,70.0,26.0,42.0,133.0,0.0,0.0
1.0,2.0,6.0,2.0,7.0,1.0,4.0,0.0,1.0,11.0,6.0,0.0,1.0,2.0,2.0,90.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0
