AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
36.0,16.0,9.0,2.0,15.0,35.0,43.0,20.0,42.0,21.0,12.0,23.0,12.0,23.0,35.0,3.0,1.0
20.0,20.0,9.0,1.0,13.0,16.0,26.0,9.0,32.0,10.0,18.0,15.0,7.0,9.0,28.0,8.0,0.0
5.0,2.0,21.0,5.0,10.0,3.0,5.0,3.0,1.0,2.0,12.0,1.0,0.0,0.0,2.0,3.0,5.0
0.0,0.0,3.0,21.0,3.0,2.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0
3.0,8.0,6.0,4.0,14.0,5.0,8.0,6.0,5.0,16.0,8.0,1.0,6.0,2.0,9.0,7.0,3.0
26.0,33.0,8.0,0.0,13.0,36.0,33.0,23.0,30.0,12.0,17.0,29.0,6.0,13.0,32.0,11.0,4.0
84.0,98.0,30.0,3.0,49.0,88.0,136.0,56.0,124.0,60.0,49.0,92.0,20.0,64.0,112.0,31.0,11.0
3.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,5.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
72.0,64.0,22.0,4.0,57.0,79.0,105.0,39.0,108.0,37.0,64.0,79.0,32.0,44.0,117.0,15.0,4.0
26.0,26.0,23.0,5.0,43.0,17.0,29.0,19.0,20.0,100.0,30.0,27.0,2.0,17.0,20.0,22.0,2.0
12.0,8.0,33.0,12.0,13.0,8.0,8.0,8.0,8.0,20.0,57.0,6.0,4.0,11.0,10.0,8.0,12.0
17.0,19.0,3.0,1.0,14.0,15.0,25.0,14.0,21.0,12.0,7.0,27.0,7.0,10.0,29.0,2.0,3.0
1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
76.0,68.0,42.0,2.0,44.0,70.0,84.0,53.0,96.0,57.0,38.0,77.0,29.0,46.0,114.0,11.0,6.0
1.0,2.0,7.0,9.0,2.0,2.0,1.0,2.0,0.0,3.0,7.0,3.0,2.0,4.0,2.0,2.0,32.0
