AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
5.0,7.0,0.0,0.0,2.0,6.0,14.0,3.0,8.0,2.0,0.0,4.0,4.0,5.0,10.0,0.0,0.0
11.0,18.0,3.0,1.0,6.0,14.0,21.0,12.0,9.0,2.0,6.0,13.0,1.0,7.0,23.0,0.0,0.0
7.0,5.0,126.0,13.0,7.0,9.0,8.0,10.0,4.0,19.0,23.0,4.0,2.0,4.0,4.0,12.0,1.0
0.0,0.0,2.0,38.0,0.0,3.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,1.0,0.0,108.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
20.0,25.0,0.0,0.0,7.0,32.0,26.0,8.0,12.0,9.0,5.0,23.0,4.0,19.0,21.0,0.0,0.0
106.0,60.0,3.0,1.0,30.0,91.0,135.0,40.0,120.0,33.0,28.0,89.0,31.0,57.0,125.0,0.0,0.0
18.0,34.0,9.0,1.0,5.0,21.0,18.0,100.0,15.0,6.0,6.0,23.0,8.0,11.0,32.0,1.0,0.0
90.0,79.0,0.0,1.0,36.0,82.0,131.0,19.0,200.0,21.0,40.0,87.0,35.0,60.0,95.0,0.0,0.0
10.0,5.0,20.0,3.0,38.0,9.0,4.0,7.0,4.0,188.0,22.0,6.0,1.0,4.0,7.0,16.0,0.0
1.0,3.0,43.0,10.0,2.0,3.0,2.0,7.0,1.0,16.0,141.0,3.0,3.0,3.0,3.0,5.0,1.0
8.0,7.0,0.0,0.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,4.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,120.0,6.0,0.0,44.0,107.0,138.0,42.0,115.0,34.0,42.0,128.0,34.0,67.0,177.0,0.0,0.0
2.0,2.0,4.0,1.0,5.0,0.0,2.0,1.0,1.0,12.0,5.0,0.0,1.0,2.0,5.0,86.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0
