AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
32.0,25.0,7.0,2.0,18.0,21.0,46.0,13.0,27.0,11.0,24.0,22.0,11.0,21.0,40.0,6.0,1.0
14.0,29.0,9.0,0.0,15.0,29.0,19.0,9.0,25.0,13.0,10.0,20.0,2.0,14.0,34.0,6.0,2.0
7.0,5.0,18.0,6.0,8.0,4.0,9.0,1.0,4.0,5.0,12.0,2.0,0.0,3.0,2.0,1.0,4.0
0.0,0.0,5.0,22.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0
6.0,4.0,9.0,2.0,13.0,5.0,6.0,8.0,6.0,28.0,7.0,4.0,1.0,4.0,1.0,9.0,2.0
27.0,24.0,9.0,1.0,22.0,19.0,39.0,18.0,34.0,11.0,19.0,26.0,11.0,19.0,40.0,7.0,3.0
87.0,93.0,42.0,3.0,47.0,102.0,125.0,64.0,127.0,76.0,59.0,89.0,37.0,63.0,131.0,26.0,10.0
2.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0
82.0,57.0,22.0,6.0,45.0,74.0,110.0,41.0,114.0,48.0,46.0,73.0,24.0,37.0,92.0,13.0,3.0
18.0,27.0,27.0,4.0,52.0,26.0,29.0,17.0,13.0,83.0,19.0,27.0,6.0,11.0,27.0,18.0,4.0
11.0,7.0,35.0,11.0,16.0,6.0,6.0,6.0,16.0,12.0,67.0,7.0,4.0,6.0,14.0,6.0,10.0
19.0,14.0,5.0,0.0,12.0,13.0,20.0,14.0,24.0,13.0,10.0,20.0,5.0,9.0,26.0,9.0,3.0
1.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
72.0,74.0,24.0,4.0,38.0,71.0,92.0,59.0,99.0,51.0,39.0,85.0,25.0,51.0,103.0,17.0,7.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,2.0,5.0,8.0,4.0,3.0,1.0,0.0,1.0,2.0,7.0,3.0,1.0,4.0,2.0,4.0,36.0
