AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
52.0,39.0,7.0,1.0,13.0,61.0,82.0,29.0,72.0,14.0,21.0,55.0,19.0,44.0,77.0,0.0,0.0
35.0,52.0,6.0,0.0,11.0,36.0,29.0,14.0,48.0,17.0,14.0,27.0,13.0,28.0,50.0,1.0,0.0
5.0,1.0,109.0,12.0,9.0,5.0,4.0,10.0,5.0,32.0,32.0,5.0,2.0,3.0,3.0,13.0,0.0
0.0,0.0,3.0,37.0,0.0,2.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0,6.0,4.0,2.0,102.0,3.0,2.0,2.0,4.0,36.0,10.0,7.0,2.0,1.0,7.0,17.0,1.0
44.0,36.0,1.0,0.0,21.0,56.0,56.0,21.0,35.0,16.0,10.0,45.0,15.0,27.0,49.0,1.0,0.0
63.0,52.0,6.0,0.0,34.0,67.0,127.0,41.0,96.0,24.0,21.0,79.0,23.0,47.0,80.0,1.0,0.0
18.0,26.0,8.0,0.0,6.0,12.0,16.0,70.0,10.0,4.0,9.0,18.0,3.0,8.0,15.0,1.0,1.0
60.0,53.0,2.0,0.0,23.0,50.0,76.0,21.0,102.0,21.0,21.0,55.0,24.0,36.0,70.0,1.0,0.0
4.0,6.0,17.0,1.0,23.0,7.0,5.0,2.0,6.0,137.0,11.0,3.0,1.0,2.0,6.0,4.0,0.0
3.0,5.0,29.0,7.0,6.0,1.0,4.0,4.0,3.0,14.0,111.0,2.0,2.0,3.0,4.0,8.0,4.0
30.0,19.0,3.0,2.0,8.0,29.0,31.0,10.0,31.0,10.0,12.0,28.0,7.0,12.0,43.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0
14.0,13.0,1.0,0.0,3.0,11.0,10.0,6.0,7.0,3.0,1.0,9.0,2.0,9.0,11.0,0.0,0.0
44.0,55.0,4.0,0.0,13.0,41.0,60.0,17.0,69.0,12.0,26.0,51.0,11.0,19.0,92.0,0.0,0.0
4.0,1.0,12.0,1.0,17.0,0.0,2.0,0.0,2.0,12.0,7.0,0.0,2.0,2.0,5.0,77.0,0.0
0.0,1.0,5.0,6.0,2.0,1.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,83.0
