AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
32.0,24.0,8.0,1.0,12.0,33.0,44.0,23.0,32.0,20.0,22.0,30.0,13.0,21.0,48.0,8.0,3.0
19.0,25.0,6.0,1.0,6.0,20.0,23.0,17.0,22.0,16.0,12.0,22.0,4.0,12.0,26.0,3.0,4.0
5.0,6.0,17.0,7.0,5.0,3.0,1.0,1.0,4.0,4.0,10.0,3.0,2.0,3.0,4.0,3.0,6.0
0.0,0.0,3.0,24.0,0.0,3.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0
3.0,7.0,10.0,4.0,12.0,5.0,6.0,7.0,6.0,23.0,9.0,8.0,3.0,5.0,4.0,2.0,2.0
22.0,25.0,12.0,2.0,13.0,29.0,39.0,13.0,27.0,19.0,12.0,21.0,9.0,13.0,36.0,2.0,2.0
91.0,83.0,36.0,5.0,56.0,74.0,119.0,62.0,121.0,53.0,75.0,80.0,33.0,52.0,137.0,20.0,3.0
0.0,3.0,2.0,0.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0
83.0,64.0,25.0,2.0,52.0,96.0,108.0,47.0,126.0,64.0,48.0,85.0,21.0,63.0,91.0,25.0,13.0
18.0,26.0,27.0,3.0,57.0,26.0,22.0,18.0,13.0,81.0,18.0,29.0,6.0,13.0,31.0,23.0,3.0
11.0,9.0,30.0,9.0,16.0,5.0,8.0,6.0,11.0,16.0,59.0,4.0,2.0,6.0,8.0,12.0,10.0
18.0,12.0,5.0,1.0,11.0,12.0,33.0,7.0,20.0,10.0,7.0,21.0,11.0,9.0,23.0,7.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
78.0,80.0,30.0,7.0,47.0,71.0,96.0,44.0,108.0,45.0,41.0,79.0,22.0,40.0,99.0,14.0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,6.0,3.0,4.0,3.0,3.0,2.0,0.0,2.0,5.0,2.0,1.0,4.0,2.0,3.0,33.0
