AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
38.0,25.0,1.0,0.0,9.0,30.0,34.0,7.0,21.0,3.0,17.0,22.0,9.0,23.0,39.0,0.0,0.0
26.0,38.0,1.0,1.0,6.0,27.0,26.0,19.0,30.0,6.0,6.0,24.0,3.0,14.0,36.0,0.0,0.0
10.0,6.0,121.0,11.0,7.0,7.0,11.0,13.0,2.0,18.0,26.0,6.0,2.0,3.0,5.0,12.0,1.0
0.0,0.0,1.0,38.0,1.0,1.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.0,2.0,0.0,110.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0
31.0,23.0,2.0,2.0,10.0,54.0,44.0,13.0,24.0,16.0,13.0,32.0,7.0,31.0,38.0,0.0,0.0
89.0,70.0,1.0,0.0,28.0,75.0,137.0,33.0,108.0,32.0,26.0,85.0,31.0,51.0,107.0,0.0,0.0
21.0,34.0,9.0,0.0,9.0,16.0,13.0,108.0,16.0,8.0,7.0,16.0,7.0,12.0,24.0,0.0,0.0
73.0,64.0,1.0,1.0,33.0,66.0,120.0,18.0,179.0,19.0,29.0,71.0,25.0,42.0,97.0,0.0,0.0
4.0,7.0,23.0,2.0,37.0,5.0,4.0,3.0,4.0,182.0,18.0,5.0,3.0,6.0,9.0,10.0,0.0
3.0,4.0,43.0,11.0,1.0,1.0,2.0,5.0,1.0,14.0,137.0,3.0,3.0,3.0,1.0,8.0,2.0
23.0,18.0,0.0,0.0,8.0,23.0,23.0,8.0,24.0,7.0,3.0,28.0,8.0,18.0,23.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0
57.0,73.0,5.0,0.0,27.0,73.0,87.0,23.0,78.0,18.0,28.0,90.0,28.0,35.0,126.0,0.0,0.0
3.0,2.0,7.0,2.0,5.0,1.0,4.0,1.0,2.0,15.0,7.0,0.0,1.0,2.0,6.0,87.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0
