AMPA,CDK,Ca2,Cdc25,DNAMetabolism,DNA_intercalation,EGFR,MEK,ROCK,TopoII,Tubulin,adrenoceptor,cMyc,cellcycle,dopaminereceptor,eNOS,rac1
24.0,26.0,3.0,0.0,7.0,25.0,36.0,16.0,28.0,11.0,7.0,23.0,11.0,13.0,45.0,0.0,0.0
17.0,25.0,4.0,0.0,11.0,12.0,30.0,18.0,22.0,5.0,8.0,21.0,9.0,14.0,34.0,0.0,0.0
7.0,6.0,89.0,16.0,7.0,7.0,8.0,12.0,5.0,35.0,39.0,4.0,3.0,2.0,2.0,15.0,1.0
0.0,0.0,4.0,26.0,0.0,2.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,7.0,0.0,89.0,5.0,0.0,3.0,1.0,32.0,4.0,1.0,1.0,0.0,2.0,18.0,0.0
25.0,22.0,1.0,1.0,7.0,17.0,33.0,16.0,28.0,11.0,8.0,17.0,9.0,13.0,26.0,1.0,0.0
113.0,92.0,3.0,1.0,38.0,97.0,128.0,58.0,146.0,30.0,34.0,108.0,25.0,73.0,128.0,2.0,0.0
4.0,6.0,2.0,0.0,0.0,5.0,6.0,10.0,3.0,3.0,2.0,6.0,1.0,3.0,7.0,0.0,0.0
80.0,70.0,3.0,2.0,35.0,101.0,119.0,35.0,103.0,27.0,39.0,91.0,32.0,46.0,99.0,0.0,0.0
10.0,12.0,36.0,3.0,52.0,10.0,8.0,22.0,10.0,145.0,24.0,8.0,0.0,7.0,12.0,34.0,1.0
8.0,6.0,54.0,19.0,5.0,5.0,8.0,4.0,4.0,22.0,121.0,4.0,4.0,4.0,8.0,8.0,0.0
16.0,16.0,2.0,0.0,5.0,17.0,23.0,10.0,27.0,6.0,4.0,13.0,5.0,5.0,26.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
76.0,83.0,6.0,1.0,29.0,78.0,104.0,47.0,113.0,17.0,27.0,84.0,28.0,58.0,121.0,1.0,0.0
1.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,1.0,7.0,1.0,2.0,0.0,3.0,2.0,43.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,87.0
